drug	drugName	pubchem_cid	drugCategory_Pubchem	annotation_source	annotation_status	retrieved_at	pubchem_url	notes
ICL-SIRT078	ICL-SIRT078		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Buparlisib	Buparlisib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Afuresertib	Afuresertib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Ipatasertib	Ipatasertib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD5363	AZD5363		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Wnt-C59	Wnt-C59		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD5582	AZD5582		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Acetalax	Acetalax			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Pyridostatin	Pyridostatin			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
N-acetyl cysteine	N-acetyl cysteine			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PAK_5339	PAK_5339			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Staurosporine	Staurosporine			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD6482	AZD6482		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD3759	AZD3759		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Cediranib	Cediranib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK2578215A	GSK2578215A			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
IGF1R_3801	IGF1R_3801		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Wee1 Inhibitor	Wee1 Inhibitor		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AT13148	AT13148		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
MIRA-1	MIRA-1			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AGI-6780	AGI-6780			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GW441756	GW441756			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AGK2	AGK2		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Trametinib	Trametinib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Dasatinib	Dasatinib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BX795	BX795			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Avagacestat	Avagacestat			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Fulvestrant	Fulvestrant		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents, Hormonal; Estrogen Receptor Antagonists	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Luminespib	Luminespib			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
720427	720427			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
CCT-018159	CCT-018159			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
LY2109761	LY2109761		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AMG-319	AMG-319		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PD0325901	PD0325901		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; MEK inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
CZC24832	CZC24832			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
HKMTI-1-005	HKMTI-1-005		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Leflunomide	Leflunomide		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK2110183B	GSK2110183B			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Ruxolitinib	Ruxolitinib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Janus Kinase Inhibitors; JAK Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Gallibiscoquinazole	Gallibiscoquinazole			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Sabutoclax	Sabutoclax		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PFI3	PFI3		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Bosutinib	Bosutinib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
alpha-lipoic acid	alpha-lipoic acid			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Savolitinib	Savolitinib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Sinularin	Sinularin			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
LGK974	LGK974		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SGC-CBP30	SGC-CBP30		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
VTP-A	VTP-A		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Dabrafenib	Dabrafenib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors;	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD1208	AZD1208		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AGI-5198	AGI-5198			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Temozolomide	Temozolomide		Breast Feeding; Lactation; Antineoplastic Agents; Antineoplastic Agents, Alkylating	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Schweinfurthin A	Schweinfurthin A			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
UNC0638	UNC0638		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK-LSD1-2HCl 	GSK-LSD1-2HCl 		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
ZM447439	ZM447439		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
THR-101	THR-101			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
THR-102	THR-102			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
glutathione	glutathione		MetabolicInhibitor	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
MK-8776	MK-8776		Cytotoxic	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Telomerase Inhibitor IX	Telomerase Inhibitor IX			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD7762	AZD7762		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Docetaxel	Docetaxel		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Pevonedistat	Pevonedistat			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK3337463A	GSK3337463A			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Crizotinib	Crizotinib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SB216763	SB216763			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
123138	123138			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
XAV939	XAV939		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PCI-34051	PCI-34051			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZ960	AZ960		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
N29087-69-1	N29087-69-1			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SN-38	SN-38		Cytotoxic	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD6738	AZD6738		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PFI-1	PFI-1		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BMS-345541	BMS-345541		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
VTP-B	VTP-B		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
I-BRD9	I-BRD9		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
LJI308	LJI308		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BDILV000379a	BDILV000379a			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
KRAS (G12C) Inhibitor-12	KRAS (G12C) Inhibitor-12		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Topotecan	Topotecan		Breast Feeding; Lactation; Antineoplastic Agents; Topoisomerase I Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BDP-00009066	BDP-00009066			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
LMP744	LMP744			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Obatoclax Mesylate	Obatoclax Mesylate		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Veliparib	Veliparib		Cytotoxic	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Picolinici-acid	Picolinici-acid			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
MK-1775	MK-1775		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK2256098C	GSK2256098C			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Cisplatin	Cisplatin		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Platinum Compounds; Cytotoxic medicines	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BEN	BEN			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
ERK_2440	ERK_2440		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
L-Oxonoreleagnine	L-Oxonoreleagnine			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Daporinad	Daporinad			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
IAP_5620	IAP_5620			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
UNC0379	UNC0379		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Mitoxantrone	Mitoxantrone		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Camptothecin	Camptothecin		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Lenalidomide	Lenalidomide		(Anti-)Inflammatory	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
JQ1	JQ1		(Anti-)Inflammatory	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK-LSD1	GSK-LSD1		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
EPZ5676	EPZ5676		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Vismodegib	Vismodegib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Bicalutamide	Bicalutamide		Antineoplastic Agents; Hormones and antihormones	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
ERK_6604	ERK_6604			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
IWP-2	IWP-2			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Ribociclib	Ribociclib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BPD-00008900	BPD-00008900			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
VX-11e	VX-11e		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Paclitaxel	Paclitaxel		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
EPZ004777	EPZ004777		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD5153	AZD5153		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Piperlongumine	Piperlongumine			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Axitinib	Axitinib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
667880	667880			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Epirubicin	Epirubicin		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Anthracyclines; Antibiotics, Antineoplastic; Topoisomerase II Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Irinotecan	Irinotecan		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Topoisomerase I Inhibitors; Cytotoxic medicines	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
TW 37	TW 37		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BIBR-1532	BIBR-1532			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
WZ4003	WZ4003			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Podophyllotoxin bromide	Podophyllotoxin bromide		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Oxaliplatin	Oxaliplatin		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Teniposide	Teniposide		Cytotoxic	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Talazoparib	Talazoparib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Motesanib	Motesanib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BDF00022089a	BDF00022089a			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SL0101	SL0101			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Rucaparib	Rucaparib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
LMB_AB3	LMB_AB3			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK2276186C	GSK2276186C			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
IRAK4_4710	IRAK4_4710		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Mycophenolic acid	Mycophenolic acid		IMMUNOSUPPRESSIVE AGENTS	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK2606414	GSK2606414		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BI-2536	BI-2536			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
CPI-637	CPI-637		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Zoledronate	Zoledronate		Breast Feeding; Lactation; Bisphosphonates; Bone Density Conservation Agents; Diphosphonates;; Medicines for endocrine disorders; Supportive medicines	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
729189	729189			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Bromosporine	Bromosporine		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
