drug	drug_key	primary_anticancer_class	category_label	secondary_mechanism_note
BX795	BX795	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	TBK1/PDK1/IKK/AURK multi-Ser/Thr kinase inhibitor
CZC24832	CZC24832	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	PI3K-gamma lipid kinase inhibitor; grouped with PI3K/AKT/mTOR Ser/Thr signaling axis
Dabrafenib	DABRAFENIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
Dactolisib	DACTOLISIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Dual PI3K/mTOR inhibitor; PI3K lipid kinase plus mTOR Ser/Thr kinase
Dinaciclib	DINACICLIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	CDK/cell-cycle kinase inhibitor
Doramapimod	DORAMAPIMOD	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: p38, JNK2; JNK and p38 signaling
ERK_2440	ERK_2440	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
ERK_6604	ERK_6604	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
GNE-317	GNE-317	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	PI3K-alpha lipid kinase inhibitor; grouped with PI3K/AKT/mTOR Ser/Thr signaling axis
GSK2110183B	GSK2110183B	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	AKT1/2/3 Ser/Thr kinase inhibitor
GSK2578215A	GSK2578215A	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: LRRK2; Other, kinases
GSK2606414	GSK2606414	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	PERK/EIF2AK3 inhibitor; integrated-stress-response Ser/Thr kinase
GSK269962A	GSK269962A	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: ROCK1, ROCK2; Cytoskeleton
GSK3337463A	GSK3337463A	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: NIK; Other, kinases
GSK626616AC	GSK626616AC	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: DYRK1A; Other, kinases
Ipatasertib	IPATASERTIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	AKT Ser/Thr kinase inhibitor
IRAK4_4710	IRAK4_4710	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	IRAK4 kinase inhibitor; innate immune Ser/Thr kinase pathway
JNK Inhibitor VIII	JNK INHIBITOR VIII	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: JNK; JNK and p38 signaling
KRAS (G12C) Inhibitor-12	KRAS (G12C) INHIBITOR-12	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
LJI308	LJI308	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	RSK1/2/3 Ser/Thr kinase inhibitor
MK-2206	MK-2206	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	AKT1/2 Ser/Thr kinase inhibitor
OSI-027	OSI-027	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	mTORC1/mTORC2 Ser/Thr kinase inhibitor
PAK_5339	PAK_5339	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: PAK1, PAK2; Cytoskeleton
Palbociclib	PALBOCICLIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	CDK/cell-cycle kinase inhibitor
PD0325901	PD0325901	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	MEK inhibitor
PF-4708671	PF-4708671	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	S6K1 Ser/Thr kinase inhibitor
Pictilisib	PICTILISIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Class I PI3K lipid kinase inhibitor; grouped with PI3K/AKT/mTOR Ser/Thr signaling axis
PLX-4720	PLX-4720	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
Rapamycin	RAPAMYCIN	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	mTORC1 pathway inhibitor; mTOR Ser/Thr kinase signaling
Refametinib	REFAMETINIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	MEK1/MEK2 MAP2K inhibitor; MAPK pathway Ser/Thr kinase signaling
Ribociclib	RIBOCICLIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	CDK/cell-cycle kinase inhibitor
RO-3306	RO-3306	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	CDK/cell-cycle kinase inhibitor
SB505124	SB505124	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: TGFBR1, ACVR1B, ACVR1C; RTK signaling
SB590885	SB590885	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
SCH772984	SCH772984	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
Selumetinib	SELUMETINIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	MEK1/MEK2 MAP2K inhibitor; MAPK pathway Ser/Thr kinase signaling
SL0101	SL0101	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Aurora kinase/mitotic kinase inhibitor
Staurosporine	STAUROSPORINE	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Broad-spectrum kinase inhibitor; strong PKC/Ser-Thr kinase activity
Tanespimycin	TANESPIMYCIN	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	HSP90/chaperone inhibitor
Temsirolimus	TEMSIROLIMUS	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	mTOR pathway inhibitor; mTOR is a Ser/Thr kinase signaling node
THR-101	THR-101	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Mutant-RAS/PI3K pathway compound in GDSC; grouped with PI3K/AKT/mTOR Ser/Thr signaling for ontology consistency
THR-102	THR-102	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Mutant-RAS/PI3K pathway compound in GDSC; grouped with PI3K/AKT/mTOR Ser/Thr signaling for ontology consistency
THR-103	THR-103	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Mutant-RAS/PI3K pathway compound in GDSC; grouped with PI3K/AKT/mTOR Ser/Thr signaling for ontology consistency
Tozasertib	TOZASERTIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Aurora kinase/mitotic kinase inhibitor
Trametinib	TRAMETINIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	MEK1/MEK2 MAP2K inhibitor; MAPK pathway Ser/Thr kinase signaling
Ulixertinib	ULIXERTINIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
ULK1_4989	ULK1_4989	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: ULK1; Other, kinases
Uprosertib	UPROSERTIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	AKT1/2/3 Ser/Thr kinase inhibitor
VX-11e	VX-11E	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	ERK inhibitor
WZ4003	WZ4003	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: NUAK1, NUAK2; Other, kinases
ZM447439	ZM447439	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Aurora kinase/mitotic kinase inhibitor
Bleomycin	BLEOMYCIN	Tumor antibiotics	Tumor antibiotics	Antitumor antibiotic that induces DNA strand breaks
Bleomycin (50 uM)	BLEOMYCIN (50 UM)	Tumor antibiotics	Tumor antibiotics	Antitumor antibiotic that induces DNA strand breaks
Dactinomycin	DACTINOMYCIN	Tumor antibiotics	Tumor antibiotics	Antitumor antibiotic / transcription inhibitor
Vismodegib	VISMODEGIB	Hedgehog pathway inhibitors	WNT/HH pathway inhibitors	SMO inhibitor / Hedgehog pathway inhibitor
AZ6102	AZ6102	WNT-pathway modulators	WNT/HH pathway inhibitors	Tankyrase inhibitor; TNKS1/TNKS2
CHIR-99021	CHIR-99021	WNT-pathway modulators	WNT/HH pathway inhibitors	GSK3A/GSK3B inhibitor; WNT/beta-catenin pathway modulator; also Ser/Thr kinase inhibitor
IWP-2	IWP-2	WNT-pathway modulators	WNT/HH pathway inhibitors	PORCN inhibitor; WNT ligand secretion inhibitor
LGK974	LGK974	WNT-pathway modulators	WNT/HH pathway inhibitors	PORCN inhibitor; WNT ligand secretion inhibitor
MN-64	MN-64	WNT-pathway modulators	WNT/HH pathway inhibitors	Tankyrase inhibitor; TNKS1/TNKS2
SB216763	SB216763	WNT-pathway modulators	WNT/HH pathway inhibitors	GSK3A/GSK3B inhibitor; WNT/beta-catenin pathway modulator; also Ser/Thr kinase inhibitor
WIKI4	WIKI4	WNT-pathway modulators	WNT/HH pathway inhibitors	Tankyrase inhibitor; TNKS1/TNKS2
Wnt-C59	WNT-C59	WNT-pathway modulators	WNT/HH pathway inhibitors	PORCN inhibitor; WNT ligand secretion inhibitor
XAV939	XAV939	WNT-pathway modulators	WNT/HH pathway inhibitors	Tankyrase inhibitor; TNKS1/TNKS2
