drug	drug_key	legacy_group_used_for_enrichment	approved_final_category_id	approved_final_display_label	include_in_enrichment	included_in_enrichment	exclusion_reason_code	low_count_filter_status	category_changed	evidence_summary
LMP744	LMP744		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: DNA replication; target: TOP1
Luminespib	LUMINESPIB		PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained		GDSC pathway: Protein stability and degradation; target: HSP90
LY2109761	LY2109761	SIGNALING	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: TGFB1
Methotrexate	METHOTREXATE	DISEASE-MODIFYING ANTI-RHEUMATIC DRUGS (DMARDS)	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: Antimetabolite
MG-132	MG-132		PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained		GDSC pathway: Protein stability and degradation; target: "Proteasome, CAPN1"
MIM1	MIM1		APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained		GDSC pathway: Apoptosis regulation; target: MCL1
MIRA-1	MIRA-1		P53_PATHWAY	p53 pathway	TRUE	TRUE		retained		GDSC pathway: p53 pathway; target: TP53
Mirin	MIRIN		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: Genome integrity; target: MRE11
Mitoxantrone	MITOXANTRONE	ANTINEOPLASTIC AGENTS	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: TOP2
MK-1775	MK-1775	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: "WEE1, PLK1"
MK-2206	MK-2206	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "AKT1, AKT2"
MK-8776	MK-8776	CYTOTOXIC	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: "CHEK1, CHEK2, CDK2"
ML323	ML323		PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained		GDSC pathway: Protein stability and degradation; target: "USP1, UAF1"
MN-64	MN-64		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: WNT signaling; target: "TNKS1, TNKS2"
Motesanib	MOTESANIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: RTK signaling; target: "VEGFR, RET, KIT, PDGFR"
Mycophenolic acid	MYCOPHENOLIC ACID	IMMUNOSUPPRESSIVE AGENTS	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Unclassified; target: 
N-acetyl cysteine	N-ACETYL CYSTEINE		METABOLISM	Metabolism	TRUE	TRUE		retained		GDSC pathway: Metabolism; target: Metabolism
N25720-51-A1	N25720-51-A1		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
N27922-53-1	N27922-53-1		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
N29087-69-1	N29087-69-1		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
N30652-18-1	N30652-18-1		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
Navitoclax	NAVITOCLAX	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: "BCL2, BCL-XL, BCL-W"
Nelarabine	NELARABINE	ANTINEOPLASTIC AGENTS	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: 
Nilotinib	NILOTINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ABL signaling; target: ABL
Niraparib	NIRAPARIB	SIGNALING	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: Genome integrity; target: "PARP1, PARP2"
NU7441	NU7441		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: Genome integrity; target: DNAPK
Nutlin-3a (-)	NUTLIN-3A (-)		P53_PATHWAY	p53 pathway	TRUE	TRUE		retained		GDSC pathway: p53 pathway; target: MDM2
NVP-ADW742	NVP-ADW742	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: IGF1R signaling; target: IGF1R
Obatoclax Mesylate	OBATOCLAX MESYLATE	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: "BCL2, BCL-XL, BCL-W, MCL1"
OF-1	OF-1		EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained		GDSC pathway: Chromatin histone acetylation; target: "BRPF1B, BRPF2"
Olaparib	OLAPARIB	SIGNALING	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: Genome integrity; target: "PARP1, PARP2"
OSI-027	OSI-027	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "MTORC1, MTORC2"
Osimertinib	OSIMERTINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: EGFR signaling; target: EGFR
OTX015	OTX015	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: "BRD2, BRD3, BRD4"
Oxaliplatin	OXALIPLATIN	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: DNA alkylating agent
P22077	P22077		PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained		GDSC pathway: Protein stability and degradation; target: "USP7, USP47"
Paclitaxel	PACLITAXEL	CYTOTOXIC	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Mitosis; target: Microtubule stabiliser
PAK_5339	PAK_5339		CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained		GDSC pathway: Cytoskeleton; target: "PAK1, PAK2"
Palbociclib	PALBOCICLIB	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: "CDK4, CDK6"
PBD-288	PBD-288	CYTOTOXIC	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Unclassified; target: 
PCI-34051	PCI-34051		EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained		GDSC pathway: Chromatin histone acetylation; target: "HDAC8, HDAC6, HDAC1"
PD0325901	PD0325901	MEK INHIBITORS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: ERK MAPK signaling; target: "MEK1, MEK2"
PD173074	PD173074	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: RTK signaling; target: "FGFR1, FGFR2, FGFR3"
Pevonedistat	PEVONEDISTAT		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: NAE
PF-4708671	PF-4708671	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: S6K1
PFI-1	PFI-1	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: BRD4
PFI3	PFI3	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: "Polybromo 1, SMARCA4, SMARCA2"
Picolinici-acid	PICOLINICI-ACID		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: Inflammatory related
Pictilisib	PICTILISIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: PI3K (class 1)
Piperlongumine	PIPERLONGUMINE		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: Induces reactive oxygen species
PLX-4720	PLX-4720	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: BRAF
Podophyllotoxin bromide	PODOPHYLLOTOXIN BROMIDE	CYTOTOXIC	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Unclassified; target: 
POMHEX	POMHEX		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
PRIMA-1MET	PRIMA-1MET		P53_PATHWAY	p53 pathway	TRUE	TRUE		retained		GDSC pathway: p53 pathway; target: TP53 activation
PRT062607	PRT062607	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: SYK
Pyridostatin	PYRIDOSTATIN		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: DNA replication; target: G-quadruplex stabiliser
Rapamycin	RAPAMYCIN	IMMUNOSUPPRESSIVE AGENTS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: PI3K/MTOR signaling; target: MTORC1
Refametinib	REFAMETINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: "MEK1, MEK2"
Remodelin	REMODELIN		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
Ribociclib	RIBOCICLIB	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: "CDK4, CDK6"
RO-3306	RO-3306	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: CDK1
Romidepsin	ROMIDEPSIN	ANTINEOPLASTIC AGENTS	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone acetylation; target: "HDAC1, HDAC2, HDAC3, HDAC8"
Rucaparib	RUCAPARIB	SIGNALING	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: Genome integrity; target: "PARP1, PARP2"
Ruxolitinib	RUXOLITINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: "JAK1, JAK2"
RVX-208	RVX-208	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: BRD4
Sabutoclax	SABUTOCLAX	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: "BCL2,  BCL-XL,  BFL1, MCL1"
Sapitinib	SAPITINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: EGFR signaling; target: "EGFR, ERBB2, ERBB3"
Savolitinib	SAVOLITINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: RTK signaling; target: MET
SB216763	SB216763		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: WNT signaling; target: "GSK3A, GSK3B"
SB505124	SB505124	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: RTK signaling; target: "TGFBR1, ACVR1B, ACVR1C"
SB590885	SB590885	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: BRAF
SCH772984	SCH772984	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: "ERK1, ERK2"
Schweinfurthin A	SCHWEINFURTHIN A		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
Selumetinib	SELUMETINIB	MEK INHIBITORS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: ERK MAPK signaling; target: "MEK1, MEK2"
Sepantronium bromide	SEPANTRONIUM BROMIDE	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: BIRC5
Serdemetan	SERDEMETAN		P53_PATHWAY	p53 pathway	TRUE	TRUE		retained		GDSC pathway: p53 pathway; target: MDM2
SGC-CBP30	SGC-CBP30	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone acetylation; target: "EP300, CBP"
SGC0946	SGC0946	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: DOT1L
Sinularin	SINULARIN		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
SL0101	SL0101		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: "Other, kinases"; target: "RSK, AURKB, PIM1, PIM3"
SN-38	SN-38	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: TOP1
Sorafenib	SORAFENIB	TYROSINE KINASE INHIBITORS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: "Other, kinases"; target: "PDGFR, KIT, VEGFR, RAF"
Staurosporine	STAUROSPORINE		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: RTK signaling; target: Broad spectrum kinase inhibitor
TAF1_5496	TAF1_5496	EPIGENETICS AND TRANSCRIPTION	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: TAF1
Talazoparib	TALAZOPARIB	SIGNALING	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: Genome integrity; target: "PARP1, PARP2"
Tamoxifen	TAMOXIFEN	HORMONES AND ANTIHORMONES	HORMONE_RELATED	Hormone related	TRUE	TRUE		retained	TRUE	GDSC pathway: Hormone-related; target: ESR1
Tanespimycin	TANESPIMYCIN		PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained		GDSC pathway: Protein stability and degradation; target: HSP90
Taselisib	TASELISIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: PI3K (beta sparing)
Telomerase Inhibitor IX	TELOMERASE INHIBITOR IX		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: Genome integrity; target: Telomerase
Temozolomide	TEMOZOLOMIDE	ALKYLATING	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: DNA alkylating agent
Temsirolimus	TEMSIROLIMUS	IMMUNOSUPPRESSIVE AGENTS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: PI3K/MTOR signaling; target: MTOR
Teniposide	TENIPOSIDE	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: 
THR-101	THR-101		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: PI3K/MTOR signaling; target: Mutant RAS
THR-102	THR-102		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: PI3K/MTOR signaling; target: Mutant RAS
THR-103	THR-103		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: PI3K/MTOR signaling; target: Mutant RAS
Topotecan	TOPOTECAN	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: TOP1
Tozasertib	TOZASERTIB	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Mitosis; target: "AURKA, AURKB, AURKC, others"
Trametinib	TRAMETINIB	MEK INHIBITORS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: ERK MAPK signaling; target: "MEK1, MEK2"
Tretinoin	TRETINOIN	SIGNALING	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: Retinoic acid
TW 37	TW 37	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: "BCL2, BCL-XL, MCL1"
Ulixertinib	ULIXERTINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: "ERK1, ERK2"
ULK1_4989	ULK1_4989		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: "Other, kinases"; target: ULK1
UMI-77	UMI-77	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: MCL1
UNC0379	UNC0379	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: SETD8
UNC0638	UNC0638	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: "G9A, GLP"
Uprosertib	UPROSERTIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "AKT1, AKT2, AKT3"
VE-822	VE-822		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: Genome integrity; target: ATR
VE821	VE821		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: Genome integrity; target: ATR
Veliparib	VELIPARIB	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: Genome integrity; target: "PARP1, PARP2"
Venetoclax	VENETOCLAX	ANTINEOPLASTIC AGENTS	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: BCL2
Vinblastine	VINBLASTINE	CYTOTOXIC	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Mitosis; target: Microtubule destabiliser
Vinorelbine	VINORELBINE	CYTOTOXIC	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Mitosis; target: Microtubule destabiliser
Vismodegib	VISMODEGIB	SIGNALING	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: SMO
Vorinostat	VORINOSTAT	ANTINEOPLASTIC AGENTS	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone acetylation; target: "HDAC inhibitor Class I, IIa, IIb, IV"
VSP34_8731	VSP34_8731		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: VSP34
VTP-A	VTP-A	SIGNALING	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Unclassified; target: 
VTP-B	VTP-B	SIGNALING	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Unclassified; target: 
VX-11e	VX-11E	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: ERK2
Wee1 Inhibitor	WEE1 INHIBITOR	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: "WEE1, CHEK1"
WEHI-539	WEHI-539	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: BCL-XL
WIKI4	WIKI4		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: WNT signaling; target: "TNKS1, TNKS2"
Wnt-C59	WNT-C59	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: WNT signaling; target: PORCN
WZ4003	WZ4003		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: "Other, kinases"; target: "NUAK1, NUAK2"
XAV939	XAV939	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: WNT signaling; target: "TNKS1, TNKS2"
YK-4-279	YK-4-279		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: RNA helicase A
ZM447439	ZM447439	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Mitosis; target: "AURKA, AURKB"
Zoledronate	ZOLEDRONATE	SUPPORTIVE MEDICINES	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: 
